week,event_key,model,accuracy,num_matches
4,2025casf,random_forest,0.8461538461538461,91
4,2025code,random_forest,0.7888888888888889,90
4,2025flor,random_forest,0.7676767676767676,99
4,2025gasta,random_forest,0.7058823529411765,68
4,2025hiho,random_forest,0.7654320987654321,81
4,2025ilpe,random_forest,0.7764705882352941,85
4,2025inlaf,random_forest,0.7373737373737373,99
4,2025ksla,random_forest,0.735632183908046,87
4,2025mawor,random_forest,0.7692307692307693,91
4,2025mibro,random_forest,0.723404255319149,94
4,2025milsu,random_forest,0.7634408602150538,93
4,2025mimas,random_forest,0.7291666666666666,96
4,2025misal,random_forest,0.8021978021978022,91
4,2025mitry,random_forest,0.7835051546391752,97
4,2025miwmi,random_forest,0.8,95
4,2025mxto,random_forest,0.7411764705882353,85
4,2025ncgre,random_forest,0.7534246575342466,73
4,2025ncmec,random_forest,0.8169014084507042,71
4,2025nhdur,random_forest,0.7473684210526316,95
4,2025njwas,random_forest,0.7875,80
4,2025nyli2,random_forest,0.7604166666666666,96
4,2025oktu,random_forest,0.7619047619047619,84
4,2025onnob,random_forest,0.6962025316455697,79
4,2025ontor,random_forest,0.7323943661971831,71
4,2025onwat,random_forest,0.7466666666666667,75
4,2025orwil,random_forest,0.7469879518072289,83
4,2025paben,random_forest,0.7654320987654321,81
4,2025paca,random_forest,0.7684210526315789,95
4,2025sccha,random_forest,0.7142857142857143,84
4,2025txfor,random_forest,0.7058823529411765,85
4,2025txhou,random_forest,0.7142857142857143,77
4,2025vaale,random_forest,0.6593406593406593,91
4,2025vabla,random_forest,0.7142857142857143,77
4,2025waahs,random_forest,0.7816091954022989,87
4,2025wila,random_forest,0.7391304347826086,92
4,2025azgl,log_reg,0.7096774193548387,93
4,2025brsp,log_reg,0.8271604938271605,81
4,2025casd,log_reg,0.8804347826086957,92
4,2025casf,log_reg,0.8571428571428571,91
4,2025code,log_reg,0.8333333333333334,90
4,2025flor,log_reg,0.8080808080808081,99
4,2025gasta,log_reg,0.7352941176470589,68
