week,event_key,model,num_matches,accuracy
3,2025onosh,log_reg,77,0.7012987012987013
3,2025onosh,xgboost,77,0.6883116883116883
3,2025paphi,lightgbm,67,0.8059701492537313
3,2025paphi,log_reg,67,0.8208955223880597
3,2025paphi,xgboost,67,0.8208955223880597
3,2025rikin,lightgbm,90,0.7111111111111111
3,2025rikin,log_reg,90,0.6888888888888889
3,2025rikin,xgboost,90,0.7333333333333333
3,2025tuak,lightgbm,85,0.7294117647058823
3,2025tuak,log_reg,85,0.7411764705882353
3,2025tuak,xgboost,85,0.7647058823529411
3,2025txman,lightgbm,65,0.7538461538461538
3,2025txman,log_reg,65,0.7384615384615385
3,2025txman,xgboost,65,0.7538461538461538
3,2025txsan,lightgbm,99,0.7272727272727273
3,2025txsan,log_reg,99,0.696969696969697
3,2025txsan,xgboost,99,0.7171717171717171
3,2025txvic,lightgbm,65,0.8153846153846154
3,2025txvic,log_reg,65,0.8307692307692308
3,2025txvic,xgboost,65,0.8461538461538461
3,2025utwv,lightgbm,88,0.7613636363636364
3,2025utwv,log_reg,88,0.7386363636363636
3,2025utwv,xgboost,88,0.7613636363636364
3,2025wabon,lightgbm,83,0.7469879518072289
3,2025wabon,log_reg,83,0.7710843373493976
3,2025wabon,xgboost,83,0.7590361445783133
3,2025wayak,lightgbm,83,0.7349397590361446
3,2025wayak,log_reg,83,0.7228915662650602
3,2025wayak,xgboost,83,0.7349397590361446
4,2025azgl,lightgbm,93,0.7311827956989247
4,2025azgl,log_reg,93,0.7204301075268817
4,2025azgl,xgboost,93,0.7311827956989247
4,2025brsp,lightgbm,81,0.8148148148148148
4,2025brsp,log_reg,81,0.8271604938271605
4,2025brsp,xgboost,81,0.8148148148148148
4,2025casd,lightgbm,92,0.8478260869565217
4,2025casd,log_reg,92,0.8478260869565217
4,2025casd,xgboost,92,0.8478260869565217
4,2025casf,lightgbm,91,0.8351648351648352
4,2025casf,log_reg,91,0.8351648351648352
4,2025casf,xgboost,91,0.8351648351648352
4,2025code,lightgbm,90,0.8222222222222222
4,2025code,log_reg,90,0.8333333333333334
4,2025code,xgboost,90,0.8222222222222222
4,2025flor,lightgbm,99,0.8181818181818182
4,2025flor,log_reg,99,0.8282828282828283
4,2025flor,xgboost,99,0.797979797979798
4,2025gasta,lightgbm,68,0.7352941176470589
4,2025gasta,log_reg,68,0.7352941176470589
4,2025gasta,xgboost,68,0.7647058823529411
4,2025hiho,lightgbm,81,0.7777777777777778
4,2025hiho,log_reg,81,0.7530864197530864
4,2025hiho,xgboost,81,0.7407407407407407
4,2025ilpe,lightgbm,85,0.8235294117647058
4,2025ilpe,log_reg,85,0.8235294117647058
4,2025ilpe,xgboost,85,0.788235294117647
4,2025inlaf,lightgbm,99,0.7575757575757576
4,2025inlaf,log_reg,99,0.7575757575757576
4,2025inlaf,xgboost,99,0.7575757575757576
4,2025ksla,lightgbm,87,0.7586206896551724
4,2025ksla,log_reg,87,0.7241379310344828
4,2025ksla,xgboost,87,0.7471264367816092
4,2025mawor,lightgbm,91,0.7912087912087912
4,2025mawor,log_reg,91,0.7912087912087912
4,2025mawor,xgboost,91,0.8241758241758241
4,2025mibro,lightgbm,94,0.7021276595744681
4,2025mibro,log_reg,94,0.7021276595744681
4,2025mibro,xgboost,94,0.7127659574468085
4,2025milsu,lightgbm,93,0.7741935483870968
4,2025milsu,log_reg,93,0.7849462365591398
4,2025milsu,xgboost,93,0.8172043010752689
4,2025mimas,lightgbm,96,0.71875
4,2025mimas,log_reg,96,0.75
4,2025mimas,xgboost,96,0.6979166666666666
4,2025misal,lightgbm,91,0.8131868131868132
4,2025misal,log_reg,91,0.8021978021978022
4,2025misal,xgboost,91,0.8021978021978022
4,2025mitry,lightgbm,97,0.7835051546391752
4,2025mitry,log_reg,97,0.7938144329896907
4,2025mitry,xgboost,97,0.7835051546391752
4,2025miwmi,lightgbm,95,0.8105263157894737
4,2025miwmi,log_reg,95,0.8
4,2025miwmi,xgboost,95,0.8421052631578947
4,2025mxto,lightgbm,85,0.7647058823529411
4,2025mxto,log_reg,85,0.788235294117647
4,2025mxto,xgboost,85,0.7764705882352941
4,2025ncgre,lightgbm,73,0.6986301369863014
4,2025ncgre,log_reg,73,0.7397260273972602
4,2025ncgre,xgboost,73,0.6986301369863014
4,2025ncmec,lightgbm,71,0.8450704225352113
4,2025ncmec,log_reg,71,0.8309859154929577
4,2025ncmec,xgboost,71,0.8591549295774648
4,2025nhdur,lightgbm,95,0.7789473684210526
4,2025nhdur,log_reg,95,0.7789473684210526
4,2025nhdur,xgboost,95,0.7789473684210526
4,2025njwas,lightgbm,80,0.75
4,2025njwas,log_reg,80,0.75
4,2025njwas,xgboost,80,0.7375
4,2025nyli2,lightgbm,96,0.7916666666666666
4,2025nyli2,log_reg,96,0.8020833333333334
4,2025nyli2,xgboost,96,0.8020833333333334
4,2025oktu,lightgbm,84,0.7738095238095238
4,2025oktu,log_reg,84,0.8095238095238095
4,2025oktu,xgboost,84,0.7857142857142857
4,2025onnob,lightgbm,79,0.6835443037974683
4,2025onnob,log_reg,79,0.7088607594936709
4,2025onnob,xgboost,79,0.7088607594936709
4,2025ontor,lightgbm,71,0.8028169014084507
4,2025ontor,log_reg,71,0.8028169014084507
4,2025ontor,xgboost,71,0.7887323943661971
4,2025onwat,lightgbm,75,0.7866666666666666
4,2025onwat,log_reg,75,0.8
4,2025onwat,xgboost,75,0.7866666666666666
4,2025orwil,lightgbm,83,0.7590361445783133
4,2025orwil,log_reg,83,0.7228915662650602
4,2025orwil,xgboost,83,0.7349397590361446
4,2025paben,lightgbm,81,0.7530864197530864
4,2025paben,log_reg,81,0.7654320987654321
4,2025paben,xgboost,81,0.7530864197530864
4,2025paca,lightgbm,95,0.7684210526315789
4,2025paca,log_reg,95,0.7684210526315789
4,2025paca,xgboost,95,0.7894736842105263
4,2025sccha,lightgbm,84,0.6904761904761905
4,2025sccha,log_reg,84,0.7261904761904762
4,2025sccha,xgboost,84,0.6785714285714286
4,2025txfor,lightgbm,85,0.7411764705882353
4,2025txfor,log_reg,85,0.7647058823529411
4,2025txfor,xgboost,85,0.7411764705882353
4,2025txhou,lightgbm,77,0.7402597402597403
4,2025txhou,log_reg,77,0.7142857142857143
4,2025txhou,xgboost,77,0.7662337662337663
4,2025vaale,lightgbm,91,0.5934065934065934
4,2025vaale,log_reg,91,0.6373626373626373
4,2025vaale,xgboost,91,0.6153846153846154
4,2025vabla,lightgbm,77,0.7662337662337663
4,2025vabla,log_reg,77,0.7532467532467533
4,2025vabla,xgboost,77,0.7792207792207793
4,2025waahs,lightgbm,87,0.7816091954022989
4,2025waahs,log_reg,87,0.7701149425287356
4,2025waahs,xgboost,87,0.7586206896551724
4,2025wila,lightgbm,92,0.8043478260869565
4,2025wila,log_reg,92,0.7717391304347826
4,2025wila,xgboost,92,0.782608695652174
5,2025capt,lightgbm,95,0.8210526315789474
5,2025capt,log_reg,95,0.8315789473684211
5,2025capt,xgboost,95,0.8315789473684211
5,2025cthar,lightgbm,93,0.7419354838709677
5,2025cthar,log_reg,93,0.7419354838709677
5,2025cthar,xgboost,93,0.7419354838709677
5,2025gaalb,lightgbm,67,0.8059701492537313
5,2025gaalb,log_reg,67,0.7910447761194029
5,2025gaalb,xgboost,67,0.7611940298507462
5,2025iacf,lightgbm,92,0.75
5,2025iacf,log_reg,92,0.7391304347826086
5,2025iacf,xgboost,92,0.7608695652173914
5,2025idbo,lightgbm,92,0.7391304347826086
5,2025idbo,log_reg,92,0.75
5,2025idbo,xgboost,92,0.75
5,2025ilch,lightgbm,86,0.8255813953488372
5,2025ilch,log_reg,86,0.7906976744186046
5,2025ilch,xgboost,86,0.813953488372093
5,2025inwas,lightgbm,68,0.7794117647058824
5,2025inwas,log_reg,68,0.7352941176470589
5,2025inwas,xgboost,68,0.7794117647058824
5,2025iscmp,lightgbm,91,0.6703296703296703
5,2025iscmp,log_reg,91,0.6923076923076923
5,2025iscmp,xgboost,91,0.7252747252747253
5,2025mibig,lightgbm,99,0.7878787878787878
5,2025mibig,log_reg,99,0.797979797979798
5,2025mibig,xgboost,99,0.8181818181818182
5,2025midet,lightgbm,93,0.7849462365591398
5,2025midet,log_reg,93,0.8279569892473119
5,2025midet,xgboost,93,0.7849462365591398
5,2025miken,lightgbm,95,0.7894736842105263
5,2025miken,log_reg,95,0.7894736842105263
5,2025miken,xgboost,95,0.7894736842105263
5,2025miliv,lightgbm,93,0.7956989247311828
5,2025miliv,log_reg,93,0.7849462365591398
5,2025miliv,xgboost,93,0.7849462365591398
5,2025mimcc,lightgbm,93,0.6989247311827957
5,2025mimcc,log_reg,93,0.7204301075268817
5,2025mimcc,xgboost,93,0.7311827956989247
5,2025mimid,lightgbm,95,0.8315789473684211
5,2025mimid,log_reg,95,0.8421052631578947
5,2025mimid,xgboost,95,0.8315789473684211
5,2025mnmi,lightgbm,92,0.75
5,2025mnmi,log_reg,92,0.7282608695652174
5,2025mnmi,xgboost,92,0.7282608695652174
5,2025mokc,lightgbm,81,0.6790123456790124
5,2025mokc,log_reg,81,0.6666666666666666
5,2025mokc,xgboost,81,0.6790123456790124
5,2025ncpem,lightgbm,77,0.7402597402597403
5,2025ncpem,log_reg,77,0.7532467532467533
5,2025ncpem,xgboost,77,0.7662337662337663
5,2025njski,lightgbm,79,0.7974683544303798
5,2025njski,log_reg,79,0.8354430379746836
5,2025njski,xgboost,79,0.8227848101265823
5,2025nvlv,lightgbm,90,0.8555555555555555
5,2025nvlv,log_reg,90,0.8777777777777778
5,2025nvlv,xgboost,90,0.9
5,2025nytr,lightgbm,99,0.6464646464646465
5,2025nytr,log_reg,99,0.6565656565656566
5,2025nytr,xgboost,99,0.6767676767676768
5,2025ohmv,lightgbm,94,0.776595744680851
5,2025ohmv,log_reg,94,0.776595744680851
5,2025ohmv,xgboost,94,0.776595744680851
5,2025onham,lightgbm,77,0.8571428571428571
5,2025onham,log_reg,77,0.8701298701298701
5,2025onham,xgboost,77,0.8441558441558441
5,2025onwin,lightgbm,73,0.7123287671232876
5,2025onwin,log_reg,73,0.684931506849315
5,2025onwin,xgboost,73,0.7534246575342466
5,2025pawar,lightgbm,75,0.8
5,2025pawar,log_reg,75,0.7866666666666666
5,2025pawar,xgboost,75,0.7866666666666666
5,2025txama,lightgbm,87,0.7701149425287356
5,2025txama,log_reg,87,0.735632183908046
5,2025txama,xgboost,87,0.7471264367816092
5,2025txcle,lightgbm,83,0.8313253012048193
5,2025txcle,log_reg,83,0.7831325301204819
5,2025txcle,xgboost,83,0.8072289156626506
5,2025vtbur,lightgbm,79,0.8354430379746836
5,2025vtbur,log_reg,79,0.8354430379746836
